fromNode	zip
404	98102
405	98102
406	98102
407	98102
408	98102
409	98102
410	98102
411	98102
412	98102
413	98102
414	98102
415	98102
416	98102
417	98102
418	98102
419	98102
420	98102
421	98102
422	98102
423	98102
424	98102
425	98102
426	98102
427	98103
427	98103
427	98103
427	98103
427	98103
427	98103
427	98103
427	98103
427	98103
427	98103
428	98103
428	98103
428	98103
428	98103
428	98103
428	98103
428	98103
428	98103
428	98103
429	98103
429	98103
429	98103
429	98103
429	98103
429	98103
429	98103
430	98103
430	98103
430	98103
430	98103
430	98103
430	98103
430	98103
431	98103
431	98103
431	98103
431	98103
431	98103
431	98103
432	98103
432	98103
432	98103
432	98103
432	98103
432	98103
433	98103
433	98103
433	98103
433	98103
433	98103
433	98103
434	98103
434	98103
434	98103
434	98103
434	98103
434	98103
435	98103
435	98103
435	98103
435	98103
435	98103
436	98103
436	98103
436	98103
436	98103
436	98103
437	98103
437	98103
437	98103
437	98103
437	98103
438	98103
438	98103
438	98103
438	98103
439	98103
439	98103
439	98103
439	98103
440	98103
440	98103
440	98103
440	98103
441	98103
441	98103
441	98103
441	98103
442	98103
442	98103
442	98103
442	98103
443	98103
443	98103
443	98103
443	98103
444	98103
444	98103
444	98103
444	98103
445	98103
445	98103
445	98103
445	98103
446	98103
446	98103
446	98103
447	98103
447	98103
447	98103
448	98103
448	98103
448	98103
449	98103
449	98103
449	98103
450	98103
450	98103
450	98103
451	98103
451	98103
451	98103
452	98103
452	98103
452	98103
453	98103
453	98103
453	98103
454	98103
454	98103
454	98103
455	98103
455	98103
455	98103
456	98103
456	98103
456	98103
457	98103
457	98103
457	98103
458	98103
458	98103
458	98103
459	98103
459	98103
459	98103
460	98103
460	98103
460	98103
461	98103
461	98103
461	98103
462	98103
462	98103
462	98103
463	98103
463	98103
463	98103
464	98103
464	98103
464	98103
465	98103
465	98103
465	98103
466	98103
466	98103
467	98103
467	98103
468	98103
468	98103
469	98103
469	98103
470	98103
470	98103
471	98103
471	98103
472	98103
472	98103
473	98103
